"sigma" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo" "eqhiS" "eqhiI" "eqloS" "eqloI"
"47" 0.36 2.32342418805095 3.38402034737062 -5 NA -1 0 0.959432355214053 0.40300688397066 NA NA
"48" 0.37 2.32921069420923 3.38550796011758 -5 NA -1 0 0.959754873535839 0.401647327506428 NA NA
"49" 0.38 2.3349483359753 3.38693935655889 -5 NA -1 0 0.960070414811392 0.400309541100887 NA NA
"50" 0.39 2.34063831702061 3.38831638737491 -5 NA -1 0 0.960379216025704 0.398992873216026 NA NA
"51" 0.4 2.34628179231045 3.38964081789334 -5 NA -1 0 0.960681502912792 0.39769670126362 NA NA
"52" 0.41 2.3518798708261 3.39091433323796 -5 NA -1 0 0.960977490648218 0.396420429897856 NA NA
"53" 0.42 2.35743361808928 3.3921385430641 -5 NA -1 0 0.961267384484955 0.395163489434302 NA NA
"54" 0.43 2.3629440585185 3.39331498597715 -5 NA -1 0 0.961551380346427 0.393925334381174 NA NA
"55" 0.44 2.36841217761399 3.39444513360671 -5 NA -1 0 0.961829665372307 0.39270544207732 NA NA
"56" 0.45 2.37383892400709 3.395530394418 -5 NA -1 0 0.962102418429032 0.391503311422844 NA NA
"57" 0.46 2.37922521136076 3.39657211723541 -5 NA -1 0 0.962369810580794 0.390318461700228 NA NA
"58" 0.47 2.38457192015505 3.39757159453466 -5 NA -1 0 0.962632005529442 0.389150431473526 NA NA
"59" 0.48 2.38987989935242 3.39853006551082 -5 NA -1 0 0.962889160023859 0.387998777562494 NA NA
"60" 0.49 2.39514996795602 3.39944871892004 -5 NA -1 0 0.96314142423857 0.386863074084831 NA NA
"61" 0.5 2.40038291647475 3.40032869577611 -5 NA -1 0 0.96338894213308 0.385742911559868 NA NA
"62" 0.51 2.40557950829296 3.40117109182423 -5 NA -1 0 0.963631851780675 0.384637896071047 NA NA
"63" 0.52 2.41074048095885 3.40197695988585 -5 NA -1 0 0.96387028568008 0.383547648481042 NA NA
"64" 0.53 2.41586654739367 3.40274731204303 -5 NA -1 0 0.964104371045346 0.382471803696455 NA NA
"65" 0.54 2.42095839703136 3.40348312168299 -5 NA -1 0 0.964334230076936 0.381410009977541 NA NA
"66" 0.55 2.42601669688769 3.40418532542659 -5 NA -1 0 0.964559980217155 0.380361928290834 NA NA
"67" 0.56 2.43104209257188 3.40485482493113 -5 NA -1 0 0.964781734388735 0.379327231699943 NA NA
"68" 0.57 2.43603520923507 3.40549248857666 -5 NA -1 0 0.964999601217572 0.378305604793765 NA NA
"69" 0.58 2.44099665247149 3.40609915307382 -5 NA -1 0 0.965213685245239 0.377296743147014 NA NA
"70" 0.59 2.44592700916145 3.40667562494736 -5 NA -1 0 0.965424087124416 0.376300352813795 NA NA
"71" 0.6 2.45082684827788 3.40722268196576 -5 NA -1 0 0.965630903807569 0.375316149848193 NA NA
"72" 0.61 2.45569672163906 3.40774107445317 -5 NA -1 0 0.965834228719373 0.374343859854148 NA NA
"73" 0.62 2.46053716462641 3.40823152656029 -5 NA -1 0 0.966034151924012 0.373383217559415 NA NA
"74" 0.63 2.46534869686384 3.40869473743912 -5 NA -1 0 0.966230760279458 0.372433966413257 NA NA
"75" 0.64 2.47013182286089 3.40913138236277 -5 NA -1 0 0.966424137584458 0.371495858206303 NA NA
"76" 0.65 2.47488703261957 3.4095421137798 -5 NA -1 0 0.96661436471669 0.37056865271159 NA NA
"77" 0.66 2.47961480221573 3.40992756232265 -5 NA -1 0 0.966801519765021 0.36965211734372 NA NA
"78" 0.67 2.48431559434655 3.41028833773657 -5 NA -1 0 0.966985678150889 0.368746026836993 NA NA
"79" 0.68 2.48898985885137 3.41062502979225 -5 NA -1 0 0.967166912747756 0.367850162940227 NA NA
"80" 0.69 2.49363803320693 3.41093820911208 -5 NA -1 0 0.967345293988823 0.366964314127401 NA NA
"81" 0.7 2.49826054300163 3.41122842799832 -5 NA -1 0 0.967520889975417 0.366088275322472 NA NA
"82" 0.71 2.50285780237926 3.41149622117249 -5 NA -1 0 0.967693766573024 0.365221847639659 NA NA
"83" 0.72 2.50743021446903 3.411742106511 -5 NA -1 0 0.967863987507314 0.364364838135304 NA NA
"84" 0.73 2.51197817179038 3.41196658572205 -5 NA -1 0 0.968031614452073 0.363517059572997 NA NA
"85" 0.74 2.51650205664177 3.41217014500603 -5 NA -1 0 0.968196707115171 0.362678330199696 NA NA
"86" 0.75 2.52100224146863 3.41235325567204 -5 NA -1 0 0.968359323318551 0.361848473533288 NA NA
"87" 0.76 2.52547908921692 3.4125163747235 -5 NA -1 0 0.968519519074224 0.361027318159917 NA NA
"88" 0.77 2.52993295366844 3.41265994542149 -5 NA -1 0 0.968677348657273 0.360214697541408 NA NA
"89" 0.78 2.53436417976229 3.41278439781218 -5 NA -1 0 0.96883286467412 0.359410449831568 NA NA
"90" 0.79 2.53877310390282 3.41289014924997 -5 NA -1 0 0.968986118130404 0.358614417700904 NA NA
"91" 0.8 2.54316005425024 3.41297760486052 -5 NA -1 0 0.969137158490532 0.357826448170231 NA NA
"92" 0.81 2.54752535100412 3.4130471580156 -5 NA -1 0 0.969286033739253 0.35704639245084 NA NA
"93" 0.82 2.55186930666926 3.41309919076958 -5 NA -1 0 0.96943279043787 0.356274105792942 NA NA
"94" 0.83 2.55619222631299 3.41313407427676 -5 NA -1 0 0.969577473778033 0.355509447340449 NA NA
"95" 0.84 2.56049440781212 3.4131521691966 -5 NA -1 0 0.969720127634022 0.354752279992104 NA NA
"96" 0.85 2.56477614208608 3.4131538260664 -5 NA -1 0 0.969860794610534 0.354002470269415 NA NA
"97" 0.86 2.56903771332557 3.41313938567987 -5 NA -1 0 0.969999516091592 0.35325988818942 NA NA
"98" 0.87 2.573279399206 3.41310917942382 -5 NA -1 0 0.97013633228358 0.352524407144026 NA NA
"99" 0.88 2.57750147109564 3.41306352961876 -5 NA -1 0 0.970271282259048 0.35179590378393 NA NA
"100" 0.89 2.58170419425633 3.41300274983354 -5 NA -1 0 0.970404403997073 0.351074257907342 NA NA
"101" 0.9 2.58588782803241 3.41292714519668 -5 NA -1 0 0.97053573442315 0.350359352354039 NA NA
"102" 0.91 2.5900526260342 3.41283701268234 -5 NA -1 0 0.970665309445725 0.349651072903538 NA NA
"103" 0.92 2.59419883631548 3.41273264139145 -5 NA -1 0 0.970793163992226 0.348949308177281 NA NA
"104" 0.93 2.59832670154187 3.41261431282315 -5 NA -1 0 0.970919332043749 0.348253949545218 NA NA
"105" 0.94 2.60243645915351 3.41248230112754 -5 NA -1 0 0.971043846667295 0.347564891036091 NA NA
"106" 0.95 2.6065283415205 3.41233687335263 -5 NA -1 0 0.971166740047251 0.346882029251513 NA NA
"107" 0.96 2.61060257609576 3.4121782896842 -5 NA -1 0 0.971288043516089 0.34620526328294 NA NA
"108" 0.97 2.61465938555681 3.41200680366552 -5 NA -1 0 0.971407787582179 0.345534494632858 NA NA
"109" 0.98 2.61869898794738 3.41182266241707 -5 NA -1 0 0.971526001957855 0.344869627138233 NA NA
"110" 0.99 2.62272159680985 3.41162610684923 -5 NA -1 0 0.971642715586449 0.34421056689759 NA NA
"111" 1 2.62672742131515 3.41141737185628 -5 NA -1 0 0.9717579566669 0.343557222200585 NA NA
"112" 1 2.62672742131515 3.41141737185628 -5 NA -1 0 0.9717579566669 0.343557222200585 NA NA
"113" 2 2.9663231891943 3.35352841517993 -5 NA -1 0 0.978750301573728 0.297210893516655 NA NA
"114" 3 3.23349207014371 3.26495485755313 -5 NA -1 0 0.981744037658555 0.270167161568528 NA NA
"115" 4 3.46083121855673 3.16814350450305 -5 NA -1 0 0.983335114053827 0.25164160104919 NA NA
"116" 5 3.66209046775341 3.06946516186853 -5 NA -1 0 0.98427966537589 0.237845817638016 NA NA
"117" 6 3.84460629786316 2.97122612980115 -5 NA -1 0 0.98487668355407 0.227024055798896 NA NA
"118" 7 4.01283737082733 2.87433963736175 -5 NA -1 0 0.985266334100873 0.218226788089519 NA NA
"119" 8 4.16972032433501 2.77916762766334 -5 NA -1 0 0.985522394906933 0.210886727229422 NA NA
"120" 9 4.31734724481153 2.68579257069918 -5 NA -1 0 0.985685677680649 0.204638208560961 NA NA
"121" 10 4.45721873820477 2.59421745256793 -5 NA -1 0 0.985781740373861 0.199235060352695 NA NA
