"a" "alphahi" "gammahi" "sigmavar"
"85" -0.58 2.18386439399239 3.33336691740542 0.144662358767922
"86" -0.57 2.18734159854835 3.33500718649128 0.149425984410927
"87" -0.56 2.19091228830226 3.336669605058 0.154349621719713
"88" -0.55 2.19457867901163 3.33835360788958 0.159438902855414
"89" -0.54 2.19834302984188 3.34005857139916 0.164699672781446
"90" -0.53 2.20220764392485 3.34178381117612 0.170137997721072
"91" -0.52 2.20617486889794 3.3435285795016 0.175760173926022
"92" -0.51 2.21024709742621 3.34529206281762 0.181572736763969
"93" -0.5 2.2144267676936 3.34707337914774 0.187582470131132
"94" -0.49 2.21871636386896 3.34887157548687 0.193796416193788
"95" -0.48 2.22311841653638 3.35068562514708 0.20022188546464
"96" -0.47 2.22763550308411 3.35251442507476 0.206866467216438
"97" -0.46 2.23227024805081 3.35435679314371 0.21373804023532
