"mu" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo"
"27" 0.5125 3.2808934746102 10.0333252969109 1.72738035139165 1.89829626972677 1.4563433379074 0
"28" 0.513 3.2791711904547 10.0215704721377 1.72693132670035 1.89650058133311 1.45599465412638 0
"29" 0.5135 3.27745064726177 10.0098330524132 1.72648201879061 1.89470418278429 1.45564604855881 0
"30" 0.514 3.2757318387159 9.99811297617257 1.72603232228163 1.89290669832671 1.45529753565168 0
"31" 0.5145 3.27401476037222 9.98641019721394 1.72558246910239 1.89110896381174 1.45494908845629 0
"32" 0.515 3.27229941266964 9.97472470036745 1.72513248435521 1.88931106918742 1.45460072009182 0
"33" 0.5155 3.27058579001162 9.96305643154459 1.7246824850763 1.8875134361147 1.45425243501243 0
"34" 0.516 3.26887388836137 9.95140534620158 1.72423240321154 1.88571581972887 1.45390422321286 0
"35" 0.5165 3.26716370527529 9.9397714105476 1.72378152886025 1.88391566855299 1.45355609125065 0
"36" 0.517 3.26545523708195 9.92815458334602 1.72333177522002 1.88211986073394 1.45320803516011 0
"37" 0.5175 3.26374847873259 9.91655481238949 1.72288179786593 1.88032356135789 1.45286005325595 0
"38" 0.518 3.26204343119449 9.9049720886958 1.72243164834211 1.8785269572785 1.4525121619534 0
"39" 0.5185 3.26034008548775 9.89340633467955 1.72198130183877 1.87672996018141 1.45216437571784 0
"40" 0.519 3.25863844208427 9.88185753601764 1.72153098554712 1.87493338616032 1.45181664967456 0
"41" 0.5195 3.25693849750589 9.8703256536292 1.72108040025267 1.87313616084126 1.45146900314568 0
"42" 0.52 3.25524024651431 9.85881063479894 1.72063011536871 1.87134032878828 1.45112144898386 0
"43" 0.5205 3.25354368669228 9.84731244742027 1.72017907364703 1.86954209546415 1.45077396658506 0
"44" 0.521 3.25184881405422 9.83583104699252 1.71972874155711 1.8677467242098 1.4504265637544 0
"45" 0.5215 3.25015562480573 9.82436639270424 1.71927819799538 1.86595090821029 1.45007924771373 0
"46" 0.522 3.2484641167389 9.8129184523282 1.71882754430787 1.86415501283235 1.44973200827397 0
"47" 0.5225 3.24677428624431 9.80148718590743 1.7183768108897 1.86235914665606 1.44938484859075 0
"48" 0.523 3.24508613136468 9.79007256386832 1.71792606588395 1.8605635546191 1.44903778291059 0
"49" 0.5235 3.24339964684795 9.77867453389239 1.7174736065462 1.85876213608358 1.44869079796146 0
"50" 0.524 3.2417148289688 9.76729305586277 1.71702371491902 1.8569702350797 1.44834389681656 0
"51" 0.5245 3.24003167696136 9.75592810783886 1.71657310886433 1.85517608683419 1.44799709332407 0
"52" 0.525 3.23835018539006 9.74457963654201 1.71612227465402 1.85338143777261 1.44765036060449 0
"53" 0.5255 3.23667035216024 9.73324761420679 1.71567124639285 1.85158641020346 1.44730371220704 0
"54" 0.526 3.23499217218031 9.72193198803664 1.71522020342913 1.8497916465482 1.44695715382835 0
"55" 0.5265 3.23331564379601 9.71063273188856 1.71476898484544 1.84799657041753 1.44661067438254 0
"56" 0.527 3.2316407642292 9.69934981107351 1.71431779021312 1.84620189694616 1.44626427986094 0
"57" 0.5275 3.22996752835453 9.68808317645882 1.71386563844686 1.84440411715004 1.44591796962958 0
"58" 0.528 3.22829593400274 9.67683279688301 1.71341490120323 1.84261171395647 1.44557174030844 0
"59" 0.5285 3.22662597862289 9.66559863911396 1.71296374106576 1.84081811327565 1.44522559105927 0
"60" 0.529 3.2249576581366 9.65438066055902 1.71251234885473 1.83902400026664 1.44487955104113 0
