"epsilon" "alphahi" "gammahi" "alpharep" "gammarep" "alphalo" "gammalo"
"94" 0.92 2.20548955388222 3.72726697286078 NA NA NA NA
"95" 0.93 2.19559471544556 3.68171306263144 NA NA NA NA
"96" 0.94 2.18522595306376 3.63418080871002 NA NA NA NA
"97" 0.95 2.17433251112992 3.58446760512472 NA NA NA NA
"98" 0.96 2.16285431947652 3.53233440541356 NA NA NA NA
"99" 0.97 2.15071943690513 3.4774958251767 NA NA NA NA
"100" 0.97 NA NA 1.16753443490066 0 1.17687568488938 0
"101" 0.97 2.15071943690513 3.4774958251767 1.16753465681736 0 1.17688928013632 0
"102" 0.975 2.14437918018175 3.44895701252117 1.18299608015964 0.0087109489542367 1.18050737869962 0
"103" 0.98 2.13784053425451 3.41960660665307 1.19865688064539 0.0509007475109678 1.18420710356338 0
"104" 0.985 2.13108936855623 3.38938900092556 1.21451663927057 0.094082136350537 1.18798898209875 0
"105" 0.99 2.1241098367076 3.35824188886561 1.23059127777157 0.138317224846641 1.1918532626113 0
"106" 0.995 2.11688408881192 3.32609520461485 1.24689868805648 0.183675796745767 1.19580009289861 0
"107" 1 2.10939190065484 3.29286969761481 1.26345917652163 0.230236928223872 1.1998296258796 0
"108" 1.005 2.10161020989906 3.25847515135044 1.28029589145695 0.278090676645151 1.20394162168901 0
"109" 1.01 2.09351252915659 3.2228081312716 1.29743494343425 0.327339039866089 1.2081360090053 0
"110" 1.015 2.08506819363539 3.18574910046596 1.31490825431963 0.378104647946575 1.21241246665113 0
"111" 1.02 2.07624138239542 3.14715867067518 1.33275086623076 0.430524364771366 1.2167705283759 0
"112" 1.025 2.06698982417645 3.10687264969954 1.35100479481495 0.484761245776337 1.22120966404983 0
"113" 1.03 2.05726305408246 3.0646953757272 1.36972071615774 0.541011135180317 1.22572926314569 0
"114" 1.035 2.04700001437581 3.02039055245671 1.38896062614329 0.599512694550564 1.23032855295823 0
"115" 1.04 2.03612567092299 2.97366833533835 1.40879845108382 0.660552126682311 1.23500665699606 0
"116" 1.045 2.02454610117908 2.9241666016179 1.42932855480902 0.724492448663738 1.2397625858186 0
"117" 1.05 2.01214111590439 2.87142284188662 1.45067140337681 0.791796624226649 1.24459531830334 0
"118" 1.055 1.998752708484 2.81483019712378 1.47298441555535 0.86306929316277 1.24950370214673 0
"119" 1.06 1.98416602930065 2.75356511294062 1.49648302178087 0.93913540556988 1.25448651402986 0
"120" 1.065 1.96807596002281 2.68646035582696 1.52147094935159 1.02115729487751 1.25954237058572 0
"121" 1.07 1.9500232096101 2.61176247567758 1.54841134249877 1.11090053065142 1.26467107144331 0
"122" 1.075 1.92925704202275 2.52661131664659 1.57804984169512 1.211208177025 1.26986923515431 0
"123" 1.08 1.90438469144079 2.42571205555023 1.61178457063392 1.32739268224929 1.27513613167854 0
"124" 1.085 1.87217110143025 2.29679359359696 1.65284830597359 1.4717184158199 1.28047026084702 0
"125" 1.09 1.81888011829834 2.08788493411309 1.71497562963562 1.69614614242973 1.28586999661308 0
"126" 1.1 NA NA NA NA 1.2968604432518 0
"127" 1.11 NA NA NA NA 1.30809246488665 0
"128" 1.12 NA NA NA NA 1.31955306600073 0
"129" 1.13 NA NA NA NA 1.33122840066076 0
"130" 1.14 NA NA NA NA 1.34310469029249 0
"131" 1.15 NA NA NA NA 1.35516825438241 0
"132" 1.16 NA NA NA NA 1.36740579753452 0
"133" 1.17 NA NA NA NA 1.37980428505961 0
"134" 1.18 NA NA NA NA 1.39235119449867 0
"135" 1.19 NA NA NA NA 1.40503441518408 0
"136" 1.2 NA NA NA NA 1.41784233654204 0
